SaleID,SaleDate,Brand,Model,Variant,Price,EngineCC,FuelType,Transmission,BuyerGender,City,UnitsSold
SAL103264,2023-07-05,Hyundai,Creta,Creta ZXI Petrol Manual,1351000,1197,Petrol,Manual,Female,Pune,2.0
SAL102559,2022-05-01,Maruti Suzuki,Ertiga,Ertiga EX Hybrid Manual,751000,999,Hybrid,Manual,Male,Delhi,3.0
SAL100015,2020-12-16,Kia,Seltos,Seltos VXI Petrol Manual,1112000,2200,Petrol,Manual,Female,Jaipur,2.0
SAL101872,2023-03-19,Hyundai,Verna,Verna XZ CNG Manual,1007000,2500,CNG,Manual,Female,Hyderabad,3.0
SAL100491,2020-11-23,Tata,Safari,Safari EX Petrol Automatic,1168000,1198,Petrol,Automatic,Male,Delhi,1.0
SAL101307,2021-08-16,Mahindra,XUV700,XUV700 SX Hybrid Automatic,2143000,1497,Hybrid,Automatic,Male,Pune,6.0
SAL101055,2021-02-27,Maruti Suzuki,Baleno,Baleno LXI Petrol Manual,616000,999,Petrol,Manual,Male,Lucknow,1.0
SAL100328,2020-03-20,Toyota,Fortuner,Fortuner ZXI+ Diesel Automatic,1875000,1998,Diesel,Automatic,Female,Pune,4.0
SAL101661,2021-09-08,MG,ZS EV,ZS EV VXI Petrol Manual,2289000,1197,Petrol,Manual,Female,Kolkata,5.0
SAL102341,2024-05-05,Kia,Carens,Carens LXI Diesel Automatic,921000,2200,Diesel,Automatic,Female,Lucknow,4.0
SAL103066,2020-05-17,Skoda,Kushaq,Kushaq XZ+ Diesel Manual,833000,2500,Diesel,Manual,Male,Chennai,4.0
SAL102896,2024-11-20,MG,ZS EV,ZS EV SX Petrol Manual,2348000,1497,Petrol,Manual,Female,Lucknow,4.0
SAL102801,2023-06-14,Mahindra,Thar,Thar LXI CNG Automatic,2334000,2200,CNG,Automatic,Male,Delhi,1.0
SAL101154,2022-12-19,MG,Hector,Hector SX Petrol Manual,2547000,1197,Petrol,Manual,Male,Mumbai,4.0
SAL101909,2025-06-04,Hyundai,Venue,Venue LXI Diesel Automatic,579000,1497,Diesel,Automatic,Female,Delhi,5.0
SAL100650,2021-03-31,Tata,Nano,Nano ZXI Diesel Manual,422000,2200,Diesel,Manual,Male,Bengaluru,3.0
SAL103470,2023-02-19,Honda,City,City SX Petrol Automatic,721000,2500,Petrol,Automatic,Female,Mumbai,4.0
SAL100289,2021-02-11,Renault,Duster,Duster LXI Hybrid Automatic,832000,2200,Hybrid,Automatic,Male,Bengaluru,4.0
SAL103193,2021-12-25,Tata,Harrier,Harrier SX Diesel AMT,757000,1498,Diesel,AMT,Male,Ahmedabad,5.0
SAL103487,2020-06-16,Honda,City,City EX Hybrid Automatic,757000,2200,Hybrid,Automatic,FEMALE ,Ahmedabad,5.0
SAL101877,2021-06-28,MG,Hector,Hector XM Petrol CVT,2271000,2200,Petrol,CVT,Male,Ahmedabad,6.0
SAL102977,2024-07-22,MG,Gloster,Gloster ZXI+ Petrol Automatic,1029000,1197,Petrol,Automatic,Male,Ahmedabad,4.0
SAL100640,2022-01-04,Tata,Nano,Nano LXI CNG Manual,328000,999,CNG,Manual,Female,Lucknow,3.0
SAL102497,2022-02-21,Renault,Kiger,Kiger ZXI+ CNG Automatic,1079000,1498,CNG,Automatic,Male,Ahmedabad,1.0
SAL100186,2021-06-19,Honda,Jazz,Jazz SX(O) Diesel Automatic,1599000,1498,Diesel,Automatic,Male,Delhi,3.0
SAL102194,2023-01-12,Honda,Amaze,Amaze SX(O) Petrol Manual,822000,2200,Petrol,Manual,Female,Mumbai,5.0
SAL101162,2021-03-11,Maruti Suzuki,Baleno,Baleno LXI Hybrid AMT,602000,1198,Hybrid,AMT,Female,Jaipur,6.0
SAL100719,2023-07-07,Mahindra,Bolero,Bolero XZ CNG Manual,2016000,1198,CNG,Manual,Male,Kolkata,5.0
SAL101287,2023-02-01,Mahindra,XUV700,XUV700 EX Petrol Manual,1331000,800,Petrol,Manual,Female,Bengaluru,5.0
SAL100175,2020-12-25,Hyundai,i10,i10 XM CNG Manual,609000,1498,CNG,Manual,Male,Delhi,5.0
SAL101131,2023-05-06,Toyota,Urban Cruiser,Urban Cruiser ZXI CNG Manual,2088000,999,CNG,Manual,Male,Chennai,1.0
SAL100983,2020-11-03,Kia,EV6,EV6 XZ Petrol Manual,928000,1197,Petrol,Manual,Male,Jaipur,4.0
SAL100918,2025-08-28,Hyundai,Verna,Verna ZXI Petrol Manual,1316000,800,Petrol,Manual,Male,Delhi,3.0
SAL101587,2021-04-27,Renault,Triber,Triber LXI Diesel Manual,664000,1197,Diesel,Manual,Male,Ahmedabad,2.0
SAL101754,2025-04-20,Honda,Amaze,Amaze VXI Petrol Manual,1773000,2500,Petrol,Manual,Male,Bengaluru,4.0
SAL101031,2024-06-13,Skoda,Superb,Superb VXI Petrol Manual,2112000,1998,Petrol,Manual,Male,Pune,1.0
SAL100671,2021-08-18,Mahindra,Scorpio,Scorpio XM Hybrid Manual,2314000,2200,Hybrid,Manual,Female,Bengaluru,1.0
ID-2291,2022-10-02,Toyota,Glanza,Glanza ZXI+ Diesel Manual,1486000,1198,Diesel,Manual,Female,Kolkata,2.0
SAL101491,2022-08-19,Mahindra,Scorpio,Scorpio ZXI+ Diesel AMT,1372000,2200,Diesel,AMT,Female,Mumbai,5.0
SAL103657,2021-06-15,Renault,Duster,Duster EX Petrol Manual,760000,999,Petrol,Manual,Male,Pune,1.0
SAL103922,2023-07-08,Honda,City,City EX Diesel Automatic,1562000,1998,Diesel,Automatic,Male,Kolkata,3.0
SAL103661,2025-07-27,Hyundai,Verna,Verna XZ Petrol Automatic,1002000,2500,Petrol,Automatic,Female,Ahmedabad,4.0
SAL101272,2021-06-23,Skoda,Superb,Superb XZ Electric Manual,2516000,1998,Electric,Manual,Male,Delhi,1.0
SAL103874,2021-12-03,Kia,Seltos,Seltos XZ Petrol Manual,871000,1497,Petrol,Manual,Male,Chennai,1.0
SAL103530,2021-11-12,Mahindra,Scorpio,Scorpio ZXI+ Petrol Manual,1201000,2200,Petrol,Manual,Male,Hyderabad,4.0
SAL103570,2020-05-30,Toyota,Innova,Innova SX Petrol Manual,1579000,1498,Petrol,Manual,Male,Ahmedabad,6.0
SAL102436,2021-01-19,Tata,Nano,Nano LXI Petrol Automatic,not_available,1497,Petrol,Automatic,Male,Mumbai,1.0
SAL102901,2023-05-13,Skoda,Rapid,Rapid ZXI+ Petrol Automatic,2484000,2500,Petrol,Automatic,Male,Pune,2.0
SAL101107,2025-04-02,Tata,Nexon,Nexon SX Petrol Manual,1362000,1498,Petrol,Manual,Male,Hyderabad,4.0
SAL102765,2024-06-07,Mahindra,XUV300,XUV300 XZ+ Petrol Manual,2424000,1498,Petrol,Manual,Male,Delhi,5.0
SAL103157,2021-06-02,Kia,EV6,EV6 XZ+ Diesel Automatic,909000,2200,Diesel,manual ,Male,Pune,6.0
SAL102254,2022-10-07,Skoda,Superb,Superb XM CNG Manual,2734000,2500,CNG,Manual,Male,Delhi,2.0
SAL101219,2023-12-25,Skoda,Superb,Superb XM Petrol Manual,1401000,1497,Petrol,Manual,Female,Pune,5.0
SAL103544,2021-01-14,Tata,Nano,Nano XZ+ Petrol Manual,1511000,2500,Petrol,Manual,Male,Mumbai,3.0
SAL102261,2024-04-19,Mahindra,Bolero,Bolero ZXI CNG Automatic,1783000,800,CNG,Automatic,Male,Bengaluru,3.0
SAL103118,2024-10-11,Hyundai,i20,i20 LXI Diesel Manual,698000,1497,Diesel,Manual,Male,Jaipur,1.0
SAL101271,2023-12-11,Renault,Kwid,Kwid XZ+ Petrol Manual,1074000,1998,Petrol,Manual,Male,Mumbai,3.0
SAL101881,2020-03-02,MG,Astor,Astor VXI Petrol Manual,3183000,1197,Petrol,Manual,Male,Mumbai,1.0
SAL101646,2021-06-27,Maruti Suzuki,Celerio,Celerio ZXI+ Petrol Automatic,415000,1497,Petrol,Automatic,Male,Ahmedabad,2.0
SAL101794,2021-02-02,Honda,Amaze,Amaze LXI Diesel Manual,746000,1198,Diesel,Manual,Female,Delhi,2.0
SAL100029,2023-11-30,Hyundai,Santro,Santro ZXI Petrol Manual,-5000,999,Petrol,Manual,Female,Pune,3.0
SAL101550,2022-07-27,Tata,Tigor,Tigor ZXI Petrol Manual,1632000,1998,Petrol,Manual,Male,Jaipur,1.0
SAL103871,2024-12-16,Toyota,Glanza,Glanza XZ Petrol Manual,1209000,1197,Petrol,Manual,Male,Chennai,3.0
SAL101845,2022-10-16,Toyota,Glanza,Glanza XZ Petrol Manual,1374000,1998,Petrol,Manual,Male,Jaipur,4.0
SAL102226,2024-01-01,Toyota,Glanza,Glanza ZXI Diesel Automatic,1544000,1497,Diesel,Automatic,Male,Bengaluru,1.0
SAL100353,2022-02-28,Hyundai,Venue,Venue ZXI+ Petrol CVT,596000,1197,Petrol,CVT,Male,Delhi,6.0
SAL100131,2021-04-11, ,ZS EV,ZS EV XZ Petrol Manual,1555000,1498,Petrol,Manual,Male,Kolkata,6.0
SAL103337,2022-11-13,MG,Astor,Astor SX(O) Petrol Manual,2897000,1498,Petrol,Manual,Male,Pune,4.0
SAL100943,2023-04-16,Maruti Suzuki,Swift,Swift XZ Petrol AMT,1047000,2500,Petrol,AMT,Male,Lucknow,4.0
