Sale_ID,Date,Brand,Model,Category,Fuel_Type,Transmission,Price,City,Seller_Type,Kilometers_Driven,Color,Customer_Age,Unused_ID
1,2022-06-13,Volkswagen,Tiguan,Sedan,Electric,Automatic,1241970.0,Hyderabad,Dealer,53290,Black,37.0,112746
2,2022-03-14,Hyundai,Creta,SUV,Diesel,Manual,1223733.0,Mumbai,Individual,69622,White,37.0,690587
3,2023-01-07,Renault,Kwid,Hatchback,Electric,Automatic,748812.0,Kolkata,Dealer,36555,Green,44.0,836601
4,2020-07-21,Volkswagen,Taigun,MUV,CNG,Manual,1070426.0,Chennai,Individual,59711,Blue,63.0,620571
5,2020-10-03,Tata,Harrier,MUV,Electric,Automatic,715703.0,Delhi,Individual,34051,Grey,65.0,889239
6,2021-05-04,Honda,City,Hatchback,CNG,Manual,879072.0,Hyderabad,Dealer,34458,White,69.0,592725
7,2020-03-15,Kia,Carens,MUV,CNG,Automatic,1032030.0,Pune,Dealer,18153,Blue,35.0,745653
8,2020-06-11,Mahindra,Thar,SUV,Electric,Automatic,853081.0,Ahmedabad,Dealer,24929,Blue,28.0,174547
9,2022-09-23,Renault,Triber,SUV,Diesel,Automatic,850273.0,Chennai,Dealer,18045,Black,28.0,751958
10,2020-10-14,Renault,Triber,Sedan,CNG,Manual,496052.0,Bangalore,Dealer,44132,White,40.0,829120
11,2021-12-13,Renault,Kiger,suv,CNG,Manual,1278264.0,Chennai,Individual,7419,Grey,55.0,976619
12,2022-07-19,Tata,Nexon,Hatchback,petrol ,Automatic,1065683.0,Mumbai,Individual,21929,Black,53.0,165938
13,2021-01-25,Tata,Safari,MUV,Electric,Manual,1483165.0,Delhi,dealer,33407,Green,46.0,321368
14,2021-09-01,Hyundai,Venue,Sedan,CNG,manual,737082.0,Pune,Individual,42805,White,52.0,632005
15,2020-01-23,Kia,Seltos,SUV,Petrol,Automatic,714530.0,Vdelhi,Dealer,48025,Blue,41.0,746718
16,2020-05-09,Maruti,Baleno,Sedan,CNG,Automatic,250307.0,Pune,Dealer,87541,white ,19.0,760102
17,2020-12-30,Mahindra,Bolero,Sedan,Electric,Manual,99999999.0,Mumbai,Dealer,41384,White,56.0,635733
18,2021-10-10,Renault,Kwid,MUV,Petrol,Manual,798001.0,Chennai,Individual,-7000,White,42.0,213137
19,2023-01-11,Skoda,Superb,Hatchback,Electric,Manual,1046051.0,Delhi,Individual,30197,Blue,120.0,258342
20,2021-06-21,Volkswagen,Polo,MUV,CNG,Manual,1386911.0,Chennai,Dealer,44514,Grey,66.0,168329
21,2022-01-02,Kia,Seltos,Sedan,CNG,Manual,1088787.0,Pune,Dealer,10442,Silver,61.0,252100
22,2022-11-16,Tata,Harrier,MUV,CNG,Automatic,679925.0,Mumbai,Individual,19658,Green,50.0,276900
23,2023-01-26,Kia,Carens,Hatchback,Electric,Automatic,845191.0,Pune,Individual,44929,Blue,18.0,101102
24,2022-01-25,Hyundai,i20,Sedan,Diesel,Automatic,285641.0,Chennai,Individual,17235,Red,66.0,348744
25,2021-12-10,Volkswagen,Tiguan,Sedan,Electric,Manual,736134.0,Pune,Individual,44590,Blue,23.0,916742
26,2022-08-03,Volkswagen,Taigun,SUV,CNG,Manual,704827.0,Ahmedabad,Dealer,45671,Grey,62.0,338762
27,2022-04-15,Volkswagen,Taigun,Hatchback,Petrol,Manual,696733.0,Bangalore,Individual,5406,Silver,48.0,589852
28,2020-12-24,Mahindra,Bolero,Sedan,Electric,Manual,910849.0,Delhi,Dealer,18403,Red,52.0,129547
29,2020-04-02,Honda,Jazz,Hatchback,Petrol,Manual,567417.0,Delhi,Dealer,65058,Silver,29.0,239245
30,2023-01-03,Renault,Duster,,,Manual,,,Dealer,14353,Blue,,517420
31,2021-06-29,Kia,Sonet,Sedan,Petrol,Manual,1276677.0,Mumbai,Individual,22388,Green,32.0,763824
32,2020-05-20,Toyota,Glanza,MUV,Electric,Automatic,1216329.0,Ahmedabad,Individual,19291,White,25.0,751931
33,2022-04-04,Honda,Jazz,MUV,Electric,Automatic,1326603.0,Hyderabad,Dealer,65831,Red,45.0,201545
34,2022-11-23,Volkswagen,Vento,SUV,Diesel,Automatic,916331.0,Bangalore,Dealer,59486,Brown,34.0,218790
35,2022-04-02,Volkswagen,Vento,SUV,Petrol,Manual,775474.0,Hyderabad,Individual,50077,Brown,44.0,695021
36,2020-02-04,Tata,Nexon,MUV,Petrol,Manual,1187422.0,Mumbai,Individual,49374,Red,45.0,517208
37,2021-06-03,Renault,Kwid,Hatchback,Electric,Manual,935852.0,Mumbai,Individual,16541,Blue,54.0,899549
38,2022-07-30,Mahindra,XUV300,Hatchback,CNG,Automatic,1313199.0,Hyderabad,Dealer,0,Blue,56.0,645724
39,2022-05-15,Hyundai,i20,Hatchback,Electric,Manual,593426.0,Pune,Individual,62717,Green,55.0,424487
40,2023-04-01,Toyota,Etios,Sedan,CNG,Automatic,932593.0,Mumbai,Dealer,38891,Red,58.0,392980
41,2020-03-19,Mahindra,Scorpio,SUV,Diesel,Manual,344889.0,Chennai,Individual,18575,White,48.0,339975
42,2021-10-26,Mahindra,XUV300,SUV,CNG,Manual,945886.0,Pune,Dealer,46851,Green,34.0,778798
43,2020-02-02,Toyota,Glanza,SUV,CNG,Manual,858474.0,Hyderabad,Individual,39954,Blue,21.0,509870
44,2020-12-12,Volkswagen,Tiguan,Hatchback,Diesel,Manual,1330544.0,Kolkata,Dealer,18386,Brown,55.0,573000
45,2020-08-19,Kia,Sonet,Sedan,Electric,Manual,783828.0,Mumbai,Dealer,42225,White,20.0,819611
46,2020-11-05,Kia,Carens,Hatchback,CNG,Automatic,919365.0,Chennai,Individual,24763,Black,21.0,860469
47,2021-04-08,Hyundai,Verna,SUV,CNG,Automatic,1266688.0,Pune,Individual,64878,Silver,45.0,575378
48,2020-10-20,Tata,Safari,Hatchback,CNG,Automatic,486587.0,Ahmedabad,Individual,38995,Red,69.0,156721
49,2021-07-19,Toyota,Fortuner,Sedan,CNG,Manual,1047647.0,Pune,Individual,82544,Brown,67.0,264429
50,2021-05-08,Tata,Safari,SUV,CNG,Automatic,1099616.0,Pune,Dealer,42077,Blue,51.0,366298
51,2022-03-09,Toyota,Etios,MUV,CNG,Manual,1187753.0,Mumbai,Individual,32295,Green,21.0,838338
52,2020-06-02,Toyota,Etios,Sedan,Petrol,Automatic,1054248.0,Pune,Dealer,44695,Silver,22.0,977761
53,2022-06-17,Kia,Carnival,SUV,Electric,Automatic,832025.0,Ahmedabad,Dealer,8910,Silver,25.0,958513
54,2020-05-24,Maruti,Baleno,MUV,Diesel,Automatic,225002.0,Kolkata,Individual,27434,Grey,65.0,380064
55,2020-02-05,Kia,Carnival,SUV,Electric,Manual,224749.0,Mumbai,Dealer,8352,Brown,36.0,542601
56,2022-03-26,Tata,Harrier,Sedan,Electric,Automatic,889119.0,Delhi,Individual,37990,Grey,35.0,517169
57,2020-11-24,Tata,Nexon,,,Manual,,,Dealer,58180,Blue,,924531
58,2022-08-24,Maruti,Swift,SUV,Electric,Automatic,1411302.0,Chennai,Dealer,36068,Grey,30.0,922371
59,2022-04-26,Toyota,Etios,SUV,Diesel,Automatic,702804.0,Ahmedabad,Individual,43106,Grey,68.0,487130
60,2020-09-27,Mahindra,Scorpio,SUV,Electric,Manual,1555475.0,Ahmedabad,Individual,19696,Grey,52.0,269905
61,2022-01-18,Volkswagen,Polo,MUV,CNG,Automatic,521708.0,Hyderabad,Dealer,50532,Red,36.0,559351
62,2021-09-18,Hyundai,Venue,Hatchback,CNG,Automatic,573980.0,Delhi,Individual,0,Silver,33.0,970153
63,2022-03-20,Toyota,Etios,MUV,CNG,Manual,1339195.0,Pune,Dealer,11512,Blue,50.0,597558
64,2022-07-02,Volkswagen,Polo,MUV,Diesel,Manual,954900.0,Ahmedabad,Individual,9725,White,53.0,611026
65,2023-03-25,Honda,City,Sedan,Diesel,Automatic,816214.0,Delhi,Dealer,71693,Green,22.0,399215
66,2022-12-14,Hyundai,Verna,,,Automatic,,,Individual,53729,Red,,381940
67,2022-04-30,Renault,Kiger,SUV,Electric,Manual,669807.0,Pune,Dealer,63417,Blue,50.0,565931
68,2020-05-14,Mahindra,XUV300,MUV,CNG,Manual,1627868.0,Kolkata,Dealer,24393,Brown,49.0,569787
69,2022-05-29,Kia,Sonet,MUV,Petrol,Manual,1006118.0,Delhi,Dealer,38979,Black,43.0,217554
70,2023-03-30,Honda,City,,,Manual,,,Individual,27258,Red,,499086
71,2020-02-29,Tata,Safari,,,Automatic,,,Dealer,0,Brown,,301926
72,2021-05-24,Renault,Kwid,MUV,CNG,Manual,1059989.0,Kolkata,Dealer,44036,Grey,30.0,900716
73,2022-08-23,Tata,Safari,SUV,Diesel,Automatic,1293857.0,Hyderabad,Dealer,73870,Green,45.0,418284
