SaleID,SaleDate,Brand,Model,Price,EngineCC,FuelType,Transmission,BuyerGender,City,UnitsSold
SAL103626,16-02-2022,Maruti Suzuki,Ertiga,301000,1198,Diesel,AMT,Male,Ahmedabad,5
SAL103310,21-09-2022,Kia,Sonet,2029000,1498,CNG,Manual,Male,Chennai,1
SAL101142,24-07-2021,Toyota,Glanza,2598000,1198,Petrol,Manual,Male,Kolkata,1
SAL101767,17-02-2024,Tata,Nano,966000,1198,Diesel,Manual,Female,Ahmedabad,4
SAL102645,28-06-2024,Skoda,Rapid,1592000,800,Electric,Manual,Female,Delhi,1
SAL103756,01-07-2020,Hyundai,Verna,622000,1197,Petrol,Manual,Male,Kolkata,1
SAL103087,12-02-2020,Kia,Sonet,826000,1998,Petrol,Manual,Male,Ahmedabad,5
SAL101105,03-05-2021,Maruti Suzuki,Baleno,457000,999,Petrol,Manual,Male,Chennai,5
SAL103852,28-12-2024,Mahindra,Thar,1803000,800,Electric,Automatic,Female,Delhi,6
SAL100602,02-08-2021,Skoda,Kushaq,1189000,1497,Diesel,Manual,Male,Pune,5
SAL101533,07-08-2020,Toyota,Fortuner,1463000,1498,Petrol,Manual,Male,Pune,1
SAL101707,22-06-2022,Renault,Triber,494000,999,Petrol,Manual,Male,Jaipur,1
SAL100250,11-03-2020,Mahindra,Bolero,1230000,2500,CNG,Automatic,Female,Bengaluru,1
SAL103216,27-02-2021,Renault,Kiger,449000,1197,Petrol,Manual,Female,Bengaluru,2
SAL100693,25-07-2023,Toyota,Fortuner,1379000,2500,Hybrid,AMT,Male,Bengaluru,6
SAL102914,28-06-2025,Skoda,Kushaq,1293000,2200,Petrol,Manual,Male,Chennai,4
SAL103795,21-07-2023,Kia,EV6,1920000,2500,Electric,Manual,Male,Lucknow,3
SAL102927,10-05-2020,Tata,Altroz,1679000,800,CNG,Manual,Male,Lucknow,6
SAL101522,09-04-2020,Kia,Sonet,1398000,800,Diesel,Automatic,Male,Mumbai,2
SAL100883,23-01-2023,Honda,WR-V,815000,1998,Petrol,Manual,Male,Delhi,3
SAL102622,16-04-2025,MG,Gloster,2085000,1198,Petrol,Automatic,Male,Bengaluru,4
SAL103416,07-11-2020,Hyundai,Venue,775000,1497,Hybrid,Manual,Male,Delhi,1
SAL100623,28-12-2020,Renault,Kwid,736000,1198,Petrol,Automatic,Female,Delhi,6
SAL102693,11-05-2021,Honda,City,1211000,1198,Diesel,Manual,Male,Pune,1
SAL100198,16-03-2021,Skoda,Rapid,2752000,1998,Petrol,Manual,Male,Hyderabad,3
SAL103625,18-03-2021,MG,Hector,1658000,1498,CNG,Manual,Male,Kolkata,1
SAL103657,26-06-2020,Honda,WR-V,1262000,1197,Petrol,Manual,Female,Pune,3
SAL103947,15-08-2022,Tata,Altroz,1143000,800,Petrol,Manual,Male,Delhi,4
SAL101240,14-04-2025,Hyundai,i20,1442000,1998,Petrol,Manual,Female,Jaipur,3
SAL100915,21-08-2023,Tata,Tigor,911000,1998,Diesel,CVT,Male,Pune,2
SAL103622,12-09-2023,Renault,Kwid,496000,2200,Diesel,Automatic,Male,Lucknow,4
SAL100528,06-05-2024,Hyundai,Verna,468000,1198,Petrol,Manual,Male,Lucknow,3
SAL103414,05-12-2020,Renault,Kiger,1005000,1498,Petrol,Manual,Female,Delhi,5
SAL100072,09-06-2023,Honda,WR-V,706000,1497,Petrol,Automatic,Male,Jaipur,6
SAL101231,11-06-2025,Mahindra,Scorpio,1114000,1198,Petrol,Automatic,Male,Hyderabad,2
SAL101008,03-08-2023,Honda,WR-V,975000,800,Petrol,Manual,Male,Pune,2
SAL101793,06-09-2021,Renault,Kiger,912000,1998,Petrol,Automatic,Male,Bengaluru,3
SAL100240,10-06-2020,Mahindra,XUV700,2393000,999,Petrol,Automatic,Female,Jaipur,2
SAL100439,22-10-2020,Kia,EV6,938000,1197,Petrol,Automatic,Male,Delhi,1
SAL101109,12-05-2021,Renault,Kiger,439000,1498,Hybrid,Manual,Male,Mumbai,2
SAL103186,13-01-2021,Toyota,Urban Cruiser,1699000,1497,Diesel,CVT,Female,Kolkata,5
SAL101371,08-05-2022,Skoda,Rapid,1198000,999,Hybrid,Automatic,Male,Pune,4
SAL103167,23-08-2025,Renault,Kwid,395000,2200,Petrol,Manual,Male,Kolkata,3
SAL102199,22-04-2023,Mahindra,Thar,1385000,1998,Petrol,AMT,Female,Kolkata,5
SAL102811,28-07-2020,Honda,City,1405000,2500,Petrol,Manual,Male,Pune,3
SAL101314,05-04-2020,Honda,WR-V,1198000,1497,Diesel,Manual,Male,Jaipur,2
SAL102572,18-01-2021,Maruti Suzuki,Baleno,589000,2500,Petrol,Manual,Female,Chennai,5
SAL102913,25-03-2024,Hyundai,i10,1560000,1498,Petrol,Automatic,Male,Mumbai,3
SAL102007,20-01-2021,Renault,Kiger,999000,1998,Diesel,Manual,Male,Pune,2
SAL100173,21-02-2022,Mahindra,Scorpio,1108000,1497,Petrol,Automatic,Female,,3
SAL102624,02-09-2024,Kia,Seltos,1441000,1998,Petrol,Manual,Female,Pune,2
SAL102672,17-03-2025,Skoda,Rapid,2369000,2500,Petrol,Manual,Male,Delhi,1
SAL102999,28-09-2022,Tata,Nexon,1520000,2500,Diesel,Manual,Male,Kolkata,4
SAL101549,17-09-2022,Hyundai,Verna,1160000,1998,Petrol,Manual,Male,Chennai,1
SAL103277,07-10-2021,Hyundai,Verna,982000,1998,Diesel,Manual,Male,Pune,2
SAL100658,18-01-2025,Tata,Harrier,1204000,1998,Petrol,Manual,Male,Lucknow,2
SAL103202,14-02-2022,Kia,EV6,1130000,1498,Hybrid,Manual,Male,Ahmedabad,4
SAL100749,16-08-2021,Renault,Triber,862000,1498,Petrol,Manual,Male,Lucknow,1
SAL100437,28-06-2020,Skoda,Superb,2608000,1497,Hybrid,Manual,Male,Delhi,2
SAL103841,20-04-2025,Honda,Amaze,736000,800,Petrol,Manual,Male,Delhi,4
SAL103398,17-07-2021,Hyundai,Creta,699000,1197,Petrol,Manual,Male,Jaipur,4
SAL102189,10-03-2022,Skoda,Rapid,2263000,,Petrol,Manual,Female,Delhi,6
SAL101706,18-01-2021,Kia,Seltos,1889000,1497,Petrol,Manual,Female,Mumbai,4
SAL102874,20-07-2024,Tata,Harrier,1393000,800,Petrol,Manual,Male,Lucknow,3
SAL103299,01-02-2024,Tata,Nexon,1425000,2200,Petrol,Manual,Male,Pune,6
SAL102574,29-07-2020,Hyundai,i20,671000,999,Diesel,AMT,Female,Pune,1
SAL102708,23-09-2022,Skoda,Octavia,839000,999,Petrol,Manual,Male,Jaipur,4
SAL101808,22-12-2020,Hyundai,i20,609000,800,Diesel,Manual,Male,Jaipur,1
SAL103012,11-07-2025,Hyundai,i20,768000,2200,Diesel,Automatic,Male,Kolkata,1
SAL103168,24-04-2025,Toyota,Glanza,2840000,1197,Hybrid,Manual,Male,Ahmedabad,5
SAL103666,02-06-2023,Hyundai,i20,1407000,2500,Petrol,Automatic,Male,Lucknow,2
SAL102235,18-02-2023,Maruti Suzuki,Baleno,834000,999,Petrol,Automatic,Male,Lucknow,6
SAL101031,28-08-2024,Skoda,Kushaq,2112000,1197,Petrol,Manual,Male,Hyderabad,2
SAL100976,10-01-2024,MG,Astor,2488000,1497,Petrol,Manual,Male,Kolkata,3
SAL103600,24-05-2021,Maruti Suzuki,Baleno,427000,800,Diesel,AMT,Male,Pune,3
SAL102316,19-01-2020,Tata,Altroz,685000,2200,Hybrid,Manual,Male,Jaipur,3
SAL101986,27-05-2024,Hyundai,Santro,1274000,1497,Electric,Manual,Female,Mumbai,2
SAL103674,28-10-2020,Toyota,Fortuner,2403000,2200,Diesel,CVT,Male,Ahmedabad,1
SAL101052,20-06-2023,MG,Hector,3348000,1198,Diesel,Manual,Male,Kolkata,1
SAL102662,29-06-2021,Tata,Altroz,602000,1498,Petrol,Manual,Male,Mumbai,4
SAL102482,13-06-2025,Kia,Carens,2405000,1998,Electric,Manual,Male,Chennai,3
SAL102175,07-06-2020,Honda,Amaze,1621000,1998,Petrol,Automatic,Male,Pune,5
SAL103170,29-07-2022,MG,ZS EV,2638000,1198,Diesel,Automatic,Male,Lucknow,3
SAL100725,01-08-2025,Kia,Carens,2231000,2200,Petrol,Manual,Female,Jaipur,5
SAL100318,17-04-2024,Maruti Suzuki,Dzire,441000,1199cc,Petrol,AMT,Male,Hyderabad,2
SAL103547,09-08-2024,Skoda,Rapid,1866000,1498,Diesel,AMT,Female,Jaipur,6
SAL100805,15-11-2021,Maruti Suzuki,Ertiga,963000,999,CNG,AMT,Male,Kolkata,6
SAL100692,28-06-2022,MG,Astor,2269000,1497,Petrol,Manual,Female,Delhi,5
SAL103630,15-07-2024,Mahindra,Thar,2050000,1998,Petrol,Manual,Female,Hyderabad,3
SAL103384,01-04-2025,MG,Astor,1084000,1498,Diesel,Manual,Male,Bengaluru,2
SAL103099,14-10-2023,Honda,WR-V,1177000,1998,Diesel,Automatic,Male,Jaipur,6
SAL103940,09-02-2020,Maruti Suzuki,Ertiga,982000,2500,Hybrid,Manual,Male,Lucknow,6
SAL100562,08-04-2022,Kia,Sonet,1032000,1197,Petrol,Automatic,Male,Bengaluru,4
SAL102477,05-10-2023,Toyota,Innova,2913000,2500,Petrol,Manual,Male,Bengaluru,4
SAL103759,21-02-2023,Kia,Sonet,2213000,1198,Diesel,Automatic,Male,Chennai,3
SAL103774,02-08-2023,Honda,Amaze,1425000,1497,Petrol,Automatic,Male,Jaipur,6
SAL103438,03-08-2022,Toyota,Fortuner,3299000,2200,Petrol,Automatic,Female,Chennai,4
SAL102241,02-11-2024,Kia,Carens,859000,999,Diesel,Manual,Male,Bengaluru,5
SAL103491,23-06-2021,Hyundai,Santro,1128000,1198,CNG,Manual,Male,Chennai,2
SAL101691,12-12-2024,Hyundai,Santro,1003000,1197,Petrol,Manual,Male,Mumbai,3
SAL100202,26-07-2021,Tata,Nexon,526000,1498,Hybrid,Manual,Male,Lucknow,6
SAL101151,31-01-2021,Tata,Nexon,1472000,1198,Petrol,Manual,Female,Ahmedabad,4
SAL102826,04-06-2025,Tata,Harrier,1320000,2200,Petrol,Manual,Male,delhi,2
